update,global_step,wallclock,ep_return_mean,ep_success_mean,policy_loss,value_loss,entropy,lr
1,2048,0.7402944564819336,nan,nan,-0.014192380738677457,0.338752455485519,11.35057682916522,1.2295081967213112e-05
2,4096,1.366661787033081,nan,nan,-0.014705568959470838,0.3302374003105797,11.346339251846075,2.4590163934426225e-05
3,6144,2.012763023376465,nan,nan,-0.012162345959950471,0.3668923442601226,11.339015875011683,3.688524590163934e-05
4,8192,2.6699728965759277,nan,nan,-0.009029619071952766,0.4220975274220109,11.33092538267374,4.918032786885245e-05
5,10240,3.3090975284576416,nan,nan,-0.012319363831920782,0.43783855432411656,11.319231662899256,6.147540983606556e-05
6,12288,4.014711380004883,nan,nan,-0.010447945684063598,0.3822873868048191,11.30322540551424,7.377049180327868e-05
7,14336,4.713182210922241,0.27640330165624616,0.0,-0.006577442654815968,1.3201048508490203,11.291011452674866,8.60655737704918e-05
8,16384,5.377091646194458,0.2753129944205284,0.0,-0.014683305551443482,0.020612610285752453,11.285395585000515,9.83606557377049e-05
9,18432,6.036427021026611,0.25676463067531585,0.0,-0.015590097762469668,0.014194786428561201,11.276739746332169,0.00011065573770491802
10,20480,6.749361276626587,0.24900068253278732,0.0,-0.018389080236374866,0.012275102199055254,11.265690091997385,0.00012295081967213112
11,22528,7.46527361869812,0.25742279589176176,0.0,-0.01583832082542358,0.012029881429043598,11.248833414167166,0.00013524590163934425
12,24576,8.182938814163208,0.2707748845219612,0.0,-0.01752694672177313,0.012151178321801126,11.244805920869112,0.00014754098360655736
13,26624,8.890958786010742,0.2649212935566902,0.0,-0.02007178091298556,0.012891148056951351,11.241522293537855,0.00015983606557377046
14,28672,9.648177862167358,0.2956737411022186,0.0,-0.026938583901937818,0.012499041878982098,11.220396172255278,0.0001721311475409836
15,30720,10.349231719970703,0.31672539114952086,0.0,-0.025855464256892446,0.01503687752847327,11.212292142212391,0.00018442622950819667
16,32768,11.064503908157349,0.3147963932156563,0.0,-0.021243273728032364,0.013123115855705692,11.20125214010477,0.0001967213114754098
17,34816,11.8054039478302,0.3284132653474808,0.0,-0.02531936609557306,0.012757145857904106,11.183901742100716,0.0002090163934426229
18,36864,12.563451528549194,0.34693643271923064,0.0,-0.023617946939339163,0.012009792235403438,11.176501341164112,0.00022131147540983603
19,38912,13.278754949569702,0.3573742216825485,0.0,-0.02089425943995593,0.012310909674852155,11.186340764164925,0.00023360655737704916
20,40960,14.003676176071167,0.3490521416068077,0.0,-0.025869289125694195,0.01056624314696819,11.186899024993181,0.00024590163934426224
21,43008,14.7244713306427,0.37754834413528443,0.0,-0.02940515424415935,0.010560168453594088,11.140764094889164,0.00025819672131147537
22,45056,15.420731544494629,0.38493028610944746,0.0,-0.02796443827173789,0.009706665137855452,11.104226909577847,0.0002704918032786885
23,47104,16.132822036743164,0.3984796878695488,0.0,-0.0199781420196814,0.010352267598136677,11.086063131690025,0.0002827868852459016
24,49152,16.867305517196655,0.4053518682718277,0.0,-0.024202478140068706,0.009910844886690029,11.068108011037111,0.0002950819672131147
25,51200,17.56654644012451,0.4339408713579178,0.0,-0.022112319187726825,0.009711147469715797,11.059845138341188,0.0002999987601302719
26,53248,18.309833526611328,0.4374444925785065,0.0,-0.023842424368922366,0.012472652526412276,11.058706745505333,0.0002999911832228279
27,55296,19.05266523361206,0.45150003463029864,0.0,-0.026227328038658015,0.010805007899762131,11.033017940819263,0.0002999767185719729
28,57344,19.770610094070435,0.46596722811460495,0.0,-0.018728827017184813,0.008678568734467262,10.985803171992302,0.00029995536684193793
29,59392,20.488320350646973,0.48181388348340987,0.0,-0.023556546217150753,0.008141839298332343,10.956694398075342,0.00029992712901321555
30,61440,21.21235728263855,0.4897728857398033,0.0,-0.02536035798038938,0.006831980876086163,10.936068926006556,0.0002998920063825148
31,63488,21.90628457069397,0.4945901706814766,0.0,-0.02285839924297761,0.007015994708126527,10.924188062548637,0.0002998500005627015
32,65536,22.682793855667114,0.5028207689523697,0.0,-0.023868724863859825,0.006378982761816587,10.903722949326038,0.00029980111348272456
33,67584,23.423175573349,0.5174232497811317,0.0,-0.025605836141039617,0.006072855789170717,10.867198064923286,0.0002997453473875269
34,69632,24.20590591430664,0.5107232037186623,0.0,-0.022836611196908052,0.005928830680204555,10.826637513935566,0.00029968270483794285
