env_id,sigma,n_episodes,mean_success,mean_return
PickCube-v1,0.0,48667,0.9586578174122095,4.988254813259814
PickCube-v1,0.005,48391,0.927321196090182,4.872097984395141
PickCube-v1,0.01,47688,0.8027176648213387,4.475499438360331
PickCube-v1,0.02,45766,0.2648909670934755,2.69676713606452
PickCube-v1,0.05,44929,0.00017805871486122548,0.4947847309982613
PickCube-v1,0.1,44928,0.0,0.41782364795552274
PickCube-v1,0.2,44928,0.0,0.4514793762194253
