env_id,sigma,n_episodes,mean_success,mean_return
StackCube-v1,0.0,47281,0.0635984856496267,5.652869823917853
StackCube-v1,0.005,47383,0.066986049849102,5.303376403202713
StackCube-v1,0.01,47349,0.06430970031046063,4.937272502770809
StackCube-v1,0.02,47203,0.062305361947333854,5.0191392729808335
StackCube-v1,0.05,45598,0.01671125926575727,3.570690658365542
StackCube-v1,0.1,45048,0.003618362635411117,1.9076146778163172
StackCube-v1,0.2,44931,0.00011128174311722419,1.0985765456888004
