variant,sigma,n_episodes,mean_success
baseline,0.0,1943,1.0
oracle,0.0,1938,1.0
dinov2,0.0,992,0.0
pi0,0.0,992,0.0
baseline,0.01,1737,0.9366724237190558
oracle,0.01,1943,1.0
dinov2,0.01,992,0.0
pi0,0.01,992,0.0
baseline,0.02,1188,0.4351851851851852
oracle,0.02,1938,1.0
dinov2,0.02,992,0.0
pi0,0.02,992,0.0
baseline,0.05,992,0.0
oracle,0.05,1939,1.0
dinov2,0.05,992,0.0
pi0,0.05,992,0.0
baseline,0.1,992,0.0
oracle,0.1,1944,1.0
dinov2,0.1,992,0.0
pi0,0.1,992,0.0
