variant,sigma,n_episodes,mean_success
baseline,0.0,2583,1.0
oracle,0.0,2578,1.0
dinov2,0.0,1696,0.07075471698113207
pi0,0.0,1632,0.0
baseline,0.05,2468,0.9485413290113452
oracle,0.05,2582,1.0
dinov2,0.05,1696,0.07075471698113207
pi0,0.05,1632,0.0
baseline,0.1,1786,0.2961926091825308
oracle,0.1,2578,1.0
dinov2,0.1,1696,0.07075471698113207
pi0,0.1,1632,0.0
baseline,0.2,1635,0.001834862385321101
oracle,0.2,2580,1.0
dinov2,0.2,1696,0.07075471698113207
pi0,0.2,1632,0.0
baseline,0.3,1632,0.0
oracle,0.3,2584,1.0
dinov2,0.3,1696,0.07075471698113207
pi0,0.3,1632,0.0
