env_id,sigma,n_episodes,mean_success,mean_return
PushCube-v1,0.0,46505,0.05678959251693366,0.642840587043106
PushCube-v1,0.005,46490,0.052527425252742524,0.6073749211109385
PushCube-v1,0.01,46641,0.08235243669732639,0.7260692067317648
PushCube-v1,0.02,47099,0.21800887492303445,1.185523292702417
PushCube-v1,0.05,47334,0.204335150209152,1.113248449399272
PushCube-v1,0.1,47091,0.22645516128347243,1.182797272550746
PushCube-v1,0.2,46545,0.30215920077344505,1.514533436758099
