id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_10_00000400,0.4909600151909722,0.9819200303819444,0.9819200303819444,nan,nan,nan,0.0,nan
shears_01_00000150,0.4731216921707467,0.9910142686631944,0.9909723310463239,0.4283927454659162,0.0,nan,nan,nan
trowel_05_00000160,0.6816005064145895,0.9951714409722222,0.9951418551017345,0.357032457496136,nan,0.6926272066458983,nan,nan
trowel_04_00000054,0.7165701203167534,0.9942355685763888,0.9941797963613457,0.4819277108433735,nan,0.6736028537455411,nan,nan
tenderizer_02_00000292,0.4425665785455893,0.997314453125,0.9973110430572626,0.3303886925795053,nan,nan,nan,0.0
tenderizer_02_00000198,0.4986165364583333,0.9972330729166666,0.9972330729166666,0.0,nan,nan,nan,nan
ladle_03_00000178,0.29143311245751435,0.9805976019965278,0.9807783772031146,0.16588050314465408,nan,0.0,0.01907356948228883,nan
cup_04_00000067,0.7480224424460532,0.9916178385416666,0.992071856122442,0.5811546840958606,nan,nan,0.6708407871198568,nan
saw_01_00000252,0.5965001438770376,0.9776746961805556,0.9780467035439585,0.3202668890742285,0.491186839012926,nan,nan,nan
scissors_06_00000007,0.41782191336862873,0.9928317599826388,0.9932318219772313,0.0,0.260233918128655,nan,nan,nan
tenderizer_01_00000114,0.4988742404513889,0.9977484809027778,0.9977484809027778,0.0,nan,nan,nan,nan
spoon_07_00000055,0.562265571436044,0.9917263454861112,0.9917778657961949,0.1431095406360424,nan,0.551909307875895,nan,nan
mallet_03_00000086,0.5015200098449222,0.9944932725694444,0.9944930111428358,0.008547008547008548,nan,nan,nan,nan
shears_01_00000180,0.5134334643099657,0.9945746527777778,0.9945557120788333,0.5457446808510639,0.0,nan,nan,nan
shovel_01_00000076,0.37230605920841586,0.9920857747395834,0.9929378434884465,0.15151515151515152,nan,0.0,nan,0.34477124183006536
pot_01_00000042,0.5247273583564156,0.9856838650173612,0.9859467809515998,0.0,nan,nan,0.5882352941176471,nan
mallet_02_00000008,0.4985283745659722,0.9970567491319444,0.9970567491319444,0.0,nan,nan,nan,nan
mallet_02_00000028,0.4984130859375,0.996826171875,0.996826171875,0.0,nan,nan,nan,nan
shovel_02_00000108,0.2495996348014633,0.9899088541666666,0.992639599093057,0.1757469244288225,0.0,0.0,nan,0.07961165048543689
cup_03_00000213,0.7823611674786205,0.9955647786458334,0.9961179165695002,0.6154553817847286,nan,nan,0.7355102040816327,nan
bowl_02_00000099,0.8882026357641502,0.9932793511284722,0.9931120285805636,nan,nan,nan,0.7832932429477367,nan
bowl_09_00000276,0.5117877526401783,0.9860772026909722,0.9860696449896862,nan,nan,nan,0.03750586029067042,nan
scissors_06_00000220,0.3336269886920691,0.9937337239583334,0.9940503649833111,0.006830601092896175,0.0,nan,nan,nan
scoop_01_00000201,0.22686754159637917,0.9895494249131944,0.9906704111955066,0.0,0.0,0.14366729678638943,0.0,nan
shovel_02_00000169,0.405731379160163,0.9917670355902778,0.9922447895743827,0.3575883575883576,0.0,nan,nan,0.27309236947791166
shears_01_00000189,0.47170681242098583,0.9925062391493056,0.9929454223553845,0.4077519379844961,0.014423076923076924,nan,nan,nan
knife_08_00000016,0.36244766942770124,0.9922824435763888,0.9926417681478162,0.09470124013528748,0.0,nan,nan,nan
spoon_10_00000280,0.4451035595074739,0.9942491319444444,0.994243393139591,0.0,nan,0.34106728538283065,nan,nan
