cls,drift_pi0,drift_pi05,iou_standalone,iou_pi0,iou_pi05,iou_drop_pi0,iou_drop_pi05
grasp,0.46053552627563477,0.5146844685077667,0.35937672976862617,0.30742958527389663,0.2950563746747615,0.051947144494729536,0.06432035509386469
cut,0.49928683042526245,0.4782918691635132,0.45455065172650355,0.1808235528148001,0.2593068035943517,0.27372709891170344,0.19524384813215184
scoop,0.3568887710571289,0.39744484424591064,0.5783121301085792,0.545156482861401,0.5445235975066786,0.03315564724717823,0.03378853260190062
contain,0.34264278411865234,0.37874841690063477,0.6492492779223259,0.6383797239194388,0.6368715083798883,0.010869554002887138,0.012377769542437633
support,0.4270036816596985,0.3919646143913269,0.625276992435241,0.4527363184079602,0.529678394129074,0.17254067402728085,0.09559859830616702
